SourceSchema;SourceTableName;SourceColumnName;SourceDataType;SourceColumnPrimaryKey;TransformationLogic;DestinationSchema;DestinationTableName;DestinationColumnName;DestinationDataType;DestinationColumnPrimaryKey
dbo;USER;externalCodeOfcust_Denmark_Statistik_ParentNav;VARCHAR(4000);;DirectMove;SRC_SCSFCTR;USER;EXTERNALCODEOFCUST_DENMARK_STATISTIK_PARENTNAV;VARCHAR(4000);
dbo;USER;externalCodeOfcust_Disc_1Nav;VARCHAR(4000);;DirectMove;SRC_SCSFCTR;USER;EXTERNALCODEOFCUST_DISC_1NAV;VARCHAR(4000);
dbo;USER;externalCodeOfcust_EEO_1Nav;VARCHAR(4000);;DirectMove;SRC_SCSFCTR;USER;EXTERNALCODEOFCUST_EEO_1NAV;VARCHAR(4000);
dbo;USER;externalCodeOfcust_EmpChange_1Nav;VARCHAR(4000);;DirectMove;SRC_SCSFCTR;USER;EXTERNALCODEOFCUST_EMPCHANGE_1NAV;VARCHAR(4000);
dbo;USER;externalCodeOfcust_EmpContr_1Nav;VARCHAR(4000);;DirectMove;SRC_SCSFCTR;USER;EXTERNALCODEOFCUST_EMPCONTR_1NAV;VARCHAR(4000);
dbo;USER;externalCodeOfcust_EmpFiles_1Nav;VARCHAR(4000);;DirectMove;SRC_SCSFCTR;USER;EXTERNALCODEOFCUST_EMPFILES_1NAV;VARCHAR(4000);
dbo;USER;externalCodeOfcust_Forms_1Nav;VARCHAR(4000);;DirectMove;SRC_SCSFCTR;USER;EXTERNALCODEOFCUST_FORMS_1NAV;VARCHAR(4000);
dbo;USER;externalCodeOfcust_HI_1Nav;VARCHAR(4000);;DirectMove;SRC_SCSFCTR;USER;EXTERNALCODEOFCUST_HI_1NAV;VARCHAR(4000);
dbo;USER;externalCodeOfcust_Hazard_1Nav;VARCHAR(4000);;DirectMove;SRC_SCSFCTR;USER;EXTERNALCODEOFCUST_HAZARD_1NAV;VARCHAR(4000);
dbo;USER;externalCodeOfcust_ID_1Nav;VARCHAR(4000);;DirectMove;SRC_SCSFCTR;USER;EXTERNALCODEOFCUST_ID_1NAV;VARCHAR(4000);
dbo;USER;externalCodeOfcust_Illness_1Nav;VARCHAR(4000);;DirectMove;SRC_SCSFCTR;USER;EXTERNALCODEOFCUST_ILLNESS_1NAV;VARCHAR(4000);
dbo;USER;externalCodeOfcust_InFiles_1Nav;VARCHAR(4000);;DirectMove;SRC_SCSFCTR;USER;EXTERNALCODEOFCUST_INFILES_1NAV;VARCHAR(4000);
dbo;USER;externalCodeOfcust_Legal_1Nav;VARCHAR(4000);;DirectMove;SRC_SCSFCTR;USER;EXTERNALCODEOFCUST_LEGAL_1NAV;VARCHAR(4000);
dbo;USER;externalCodeOfcust_MiscellaneousNav;VARCHAR(4000);;DirectMove;SRC_SCSFCTR;USER;EXTERNALCODEOFCUST_MISCELLANEOUSNAV;VARCHAR(4000);
dbo;USER;externalCodeOfcust_Other_1Nav;VARCHAR(4000);;DirectMove;SRC_SCSFCTR;USER;EXTERNALCODEOFCUST_OTHER_1NAV;VARCHAR(4000);
dbo;USER;externalCodeOfcust_PensionPlan_1Nav;VARCHAR(4000);;DirectMove;SRC_SCSFCTR;USER;EXTERNALCODEOFCUST_PENSIONPLAN_1NAV;VARCHAR(4000);
dbo;USER;externalCodeOfcust_Perm_1Nav;VARCHAR(4000);;DirectMove;SRC_SCSFCTR;USER;EXTERNALCODEOFCUST_PERM_1NAV;VARCHAR(4000);
dbo;USER;externalCodeOfcust_PersDoc_1Nav;VARCHAR(4000);;DirectMove;SRC_SCSFCTR;USER;EXTERNALCODEOFCUST_PERSDOC_1NAV;VARCHAR(4000);
dbo;USER;externalCodeOfcust_RedDoc_1Nav;VARCHAR(4000);;DirectMove;SRC_SCSFCTR;USER;EXTERNALCODEOFCUST_REDDOC_1NAV;VARCHAR(4000);
dbo;USER;externalCodeOfcust_Term_1Nav;VARCHAR(4000);;DirectMove;SRC_SCSFCTR;USER;EXTERNALCODEOFCUST_TERM_1NAV;VARCHAR(4000);
dbo;USER;externalCodeOfcust_cantine_DK_parentNav;VARCHAR(4000);;DirectMove;SRC_SCSFCTR;USER;EXTERNALCODEOFCUST_CANTINE_DK_PARENTNAV;VARCHAR(4000);
dbo;USER;externalCodeOfcust_companycar_parentNav;VARCHAR(4000);;DirectMove;SRC_SCSFCTR;USER;EXTERNALCODEOFCUST_COMPANYCAR_PARENTNAV;VARCHAR(4000);
dbo;USER;fax;VARCHAR(4000);;DirectMove;SRC_SCSFCTR;USER;FAX;VARCHAR(4000);
dbo;USER;firstName;VARCHAR(4000);;DirectMove;SRC_SCSFCTR;USER;FIRSTNAME;VARCHAR(4000);
dbo;USER;futureLeader;VARCHAR(4000);;DirectMove;SRC_SCSFCTR;USER;FUTURELEADER;VARCHAR(4000);
dbo;USER;headOfUnitOfFOBusinessUnitNav;VARCHAR(4000);;DirectMove;SRC_SCSFCTR;USER;HEADOFUNITOFFOBUSINESSUNITNAV;VARCHAR(4000);
dbo;USER;headOfUnitOfFODepartmentNav;VARCHAR(4000);;DirectMove;SRC_SCSFCTR;USER;HEADOFUNITOFFODEPARTMENTNAV;VARCHAR(4000);
dbo;USER;headOfUnitOfFODivisionNav;VARCHAR(4000);;DirectMove;SRC_SCSFCTR;USER;HEADOFUNITOFFODIVISIONNAV;VARCHAR(4000);
dbo;USER;hireDate;VARCHAR(4000);;DirectMove;SRC_SCSFCTR;USER;HIREDATE;VARCHAR(4000);
dbo;USER;homePhone;VARCHAR(4000);;DirectMove;SRC_SCSFCTR;USER;HOMEPHONE;VARCHAR(4000);
dbo;USER;hr;VARCHAR(4000);;DirectMove;SRC_SCSFCTR;USER;HR;VARCHAR(4000);
dbo;USER;hrReports;VARCHAR(4000);;DirectMove;SRC_SCSFCTR;USER;HRREPORTS;VARCHAR(4000);
dbo;USER;impactOfLoss;VARCHAR(4000);;DirectMove;SRC_SCSFCTR;USER;IMPACTOFLOSS;VARCHAR(4000);
dbo;USER;impactOfLossNav;VARCHAR(4000);;DirectMove;SRC_SCSFCTR;USER;IMPACTOFLOSSNAV;VARCHAR(4000);
dbo;USER;incumbentOfPositionNav;VARCHAR(4000);;DirectMove;SRC_SCSFCTR;USER;INCUMBENTOFPOSITIONNAV;VARCHAR(4000);
dbo;USER;isPrimaryAssignment;VARCHAR(4000);;DirectMove;SRC_SCSFCTR;USER;ISPRIMARYASSIGNMENT;VARCHAR(4000);
dbo;USER;jobCode;VARCHAR(4000);;DirectMove;SRC_SCSFCTR;USER;JOBCODE;VARCHAR(4000);
dbo;USER;keyPosition;VARCHAR(4000);;DirectMove;SRC_SCSFCTR;USER;KEYPOSITION;VARCHAR(4000);
dbo;USER;lastModified;VARCHAR(4000);;DirectMove;SRC_SCSFCTR;USER;LASTMODIFIED;VARCHAR(4000);
dbo;USER;lastModifiedDateTime;VARCHAR(4000);;DirectMove;SRC_SCSFCTR;USER;LASTMODIFIEDDATETIME;VARCHAR(4000);
dbo;USER;lastModifiedWithTZ;VARCHAR(4000);;DirectMove;SRC_SCSFCTR;USER;LASTMODIFIEDWITHTZ;VARCHAR(4000);
dbo;USER;lastName;VARCHAR(4000);;DirectMove;SRC_SCSFCTR;USER;LASTNAME;VARCHAR(4000);
dbo;USER;lastReviewDate;VARCHAR(4000);;DirectMove;SRC_SCSFCTR;USER;LASTREVIEWDATE;VARCHAR(4000);
dbo;USER;level;VARCHAR(4000);;DirectMove;SRC_SCSFCTR;USER;LEVEL;VARCHAR(4000);
dbo;USER;location;VARCHAR(4000);;DirectMove;SRC_SCSFCTR;USER;LOCATION;VARCHAR(4000);
dbo;USER;loginMethod;VARCHAR(4000);;DirectMove;SRC_SCSFCTR;USER;LOGINMETHOD;VARCHAR(4000);
dbo;USER;manager;VARCHAR(4000);;DirectMove;SRC_SCSFCTR;USER;MANAGER;VARCHAR(4000);
dbo;USER;married;VARCHAR(4000);;DirectMove;SRC_SCSFCTR;USER;MARRIED;VARCHAR(4000);
dbo;USER;matrix1Label;VARCHAR(4000);;DirectMove;SRC_SCSFCTR;USER;MATRIX1LABEL;VARCHAR(4000);
dbo;USER;matrix2Label;VARCHAR(4000);;DirectMove;SRC_SCSFCTR;USER;MATRIX2LABEL;VARCHAR(4000);
dbo;USER;matrixManaged;VARCHAR(4000);;DirectMove;SRC_SCSFCTR;USER;MATRIXMANAGED;VARCHAR(4000);
dbo;USER;matrixManager;VARCHAR(4000);;DirectMove;SRC_SCSFCTR;USER;MATRIXMANAGER;VARCHAR(4000);
dbo;USER;matrixReports;VARCHAR(4000);;DirectMove;SRC_SCSFCTR;USER;MATRIXREPORTS;VARCHAR(4000);
dbo;USER;mi;VARCHAR(4000);;DirectMove;SRC_SCSFCTR;USER;MI;VARCHAR(4000);
dbo;USER;minority;VARCHAR(4000);;DirectMove;SRC_SCSFCTR;USER;MINORITY;VARCHAR(4000);
dbo;USER;nationality;VARCHAR(4000);;DirectMove;SRC_SCSFCTR;USER;NATIONALITY;VARCHAR(4000);
dbo;USER;newToPosition;VARCHAR(4000);;DirectMove;SRC_SCSFCTR;USER;NEWTOPOSITION;VARCHAR(4000);
dbo;USER;nickname;VARCHAR(4000);;DirectMove;SRC_SCSFCTR;USER;NICKNAME;VARCHAR(4000);
dbo;USER;objective;VARCHAR(4000);;DirectMove;SRC_SCSFCTR;USER;OBJECTIVE;VARCHAR(4000);
dbo;USER;onboardingId;VARCHAR(4000);;DirectMove;SRC_SCSFCTR;USER;ONBOARDINGID;VARCHAR(4000);
dbo;USER;ownerOfTalentPoolNav;VARCHAR(4000);;DirectMove;SRC_SCSFCTR;USER;OWNEROFTALENTPOOLNAV;VARCHAR(4000);
dbo;USER;performance;VARCHAR(4000);;DirectMove;SRC_SCSFCTR;USER;PERFORMANCE;VARCHAR(4000);
dbo;USER;personKeyNav;VARCHAR(4000);;DirectMove;SRC_SCSFCTR;USER;PERSONKEYNAV;VARCHAR(4000);
dbo;USER;potential;VARCHAR(4000);;DirectMove;SRC_SCSFCTR;USER;POTENTIAL;VARCHAR(4000);
dbo;USER;proxy;VARCHAR(4000);;DirectMove;SRC_SCSFCTR;USER;PROXY;VARCHAR(4000);
dbo;USER;reasonForLeaving;VARCHAR(4000);;DirectMove;SRC_SCSFCTR;USER;REASONFORLEAVING;VARCHAR(4000);
dbo;USER;reasonForLeavingNav;VARCHAR(4000);;DirectMove;SRC_SCSFCTR;USER;REASONFORLEAVINGNAV;VARCHAR(4000);
dbo;USER;reviewFreq;VARCHAR(4000);;DirectMove;SRC_SCSFCTR;USER;REVIEWFREQ;VARCHAR(4000);
dbo;USER;riskOfLoss;VARCHAR(4000);;DirectMove;SRC_SCSFCTR;USER;RISKOFLOSS;VARCHAR(4000);
dbo;USER;riskOfLossNav;VARCHAR(4000);;DirectMove;SRC_SCSFCTR;USER;RISKOFLOSSNAV;VARCHAR(4000);
dbo;USER;salutation;VARCHAR(4000);;DirectMove;SRC_SCSFCTR;USER;SALUTATION;VARCHAR(4000);
dbo;USER;sciLastModified;VARCHAR(4000);;DirectMove;SRC_SCSFCTR;USER;SCILASTMODIFIED;VARCHAR(4000);
dbo;USER;secondManager;VARCHAR(4000);;DirectMove;SRC_SCSFCTR;USER;SECONDMANAGER;VARCHAR(4000);
dbo;USER;secondReports;VARCHAR(4000);;DirectMove;SRC_SCSFCTR;USER;SECONDREPORTS;VARCHAR(4000);
dbo;USER;ssn;VARCHAR(4000);;DirectMove;SRC_SCSFCTR;USER;SSN;VARCHAR(4000);
dbo;USER;state;VARCHAR(4000);;DirectMove;SRC_SCSFCTR;USER;STATE;VARCHAR(4000);
dbo;USER;status;VARCHAR(4000);;DirectMove;SRC_SCSFCTR;USER;STATUS;VARCHAR(4000);
dbo;USER;suffix;VARCHAR(4000);;DirectMove;SRC_SCSFCTR;USER;SUFFIX;VARCHAR(4000);
dbo;USER;talentPool;VARCHAR(4000);;DirectMove;SRC_SCSFCTR;USER;TALENTPOOL;VARCHAR(4000);
dbo;USER;targetIdOfTimeManagementAlertNav;VARCHAR(4000);;DirectMove;SRC_SCSFCTR;USER;TARGETIDOFTIMEMANAGEMENTALERTNAV;VARCHAR(4000);
dbo;USER;teamMembersSize;VARCHAR(4000);;DirectMove;SRC_SCSFCTR;USER;TEAMMEMBERSSIZE;VARCHAR(4000);
dbo;USER;timeZone;VARCHAR(4000);;DirectMove;SRC_SCSFCTR;USER;TIMEZONE;VARCHAR(4000);
dbo;USER;title;VARCHAR(4000);;DirectMove;SRC_SCSFCTR;USER;TITLE;VARCHAR(4000);
dbo;USER;totalTeamSize;VARCHAR(4000);;DirectMove;SRC_SCSFCTR;USER;TOTALTEAMSIZE;VARCHAR(4000);
dbo;USER;userId;VARCHAR(4000);Y;DirectMove;SRC_SCSFCTR;USER;USERID;VARCHAR(4000);Y
dbo;USER;userIdOfAccrualCalculationBaseNav;VARCHAR(4000);;DirectMove;SRC_SCSFCTR;USER;USERIDOFACCRUALCALCULATIONBASENAV;VARCHAR(4000);
dbo;USER;userIdOfBudgetGroupNav;VARCHAR(4000);;DirectMove;SRC_SCSFCTR;USER;USERIDOFBUDGETGROUPNAV;VARCHAR(4000);
dbo;USER;userIdOfEmployeePayrollRunResultsNav;VARCHAR(4000);;DirectMove;SRC_SCSFCTR;USER;USERIDOFEMPLOYEEPAYROLLRUNRESULTSNAV;VARCHAR(4000);
dbo;USER;userIdOfEmployeeTimeGroupNav;VARCHAR(4000);;DirectMove;SRC_SCSFCTR;USER;USERIDOFEMPLOYEETIMEGROUPNAV;VARCHAR(4000);
dbo;USER;userIdOfEmployeeTimeNav;VARCHAR(4000);;DirectMove;SRC_SCSFCTR;USER;USERIDOFEMPLOYEETIMENAV;VARCHAR(4000);
dbo;USER;userIdOfPositionRightToReturnNav;VARCHAR(4000);;DirectMove;SRC_SCSFCTR;USER;USERIDOFPOSITIONRIGHTTORETURNNAV;VARCHAR(4000);
dbo;USER;userIdOfTemporaryTimeInformationNav;VARCHAR(4000);;DirectMove;SRC_SCSFCTR;USER;USERIDOFTEMPORARYTIMEINFORMATIONNAV;VARCHAR(4000);
dbo;USER;userIdOfTimeAccountNav;VARCHAR(4000);;DirectMove;SRC_SCSFCTR;USER;USERIDOFTIMEACCOUNTNAV;VARCHAR(4000);
dbo;USER;userIdOfTimeAccountSnapshotNav;VARCHAR(4000);;DirectMove;SRC_SCSFCTR;USER;USERIDOFTIMEACCOUNTSNAPSHOTNAV;VARCHAR(4000);
dbo;USER;userIdOfWorkScheduleNav;VARCHAR(4000);;DirectMove;SRC_SCSFCTR;USER;USERIDOFWORKSCHEDULENAV;VARCHAR(4000);
dbo;USER;userPermissionsNav;VARCHAR(4000);;DirectMove;SRC_SCSFCTR;USER;USERPERMISSIONSNAV;VARCHAR(4000);
dbo;USER;userSysIdOfWorkOrderNav;VARCHAR(4000);;DirectMove;SRC_SCSFCTR;USER;USERSYSIDOFWORKORDERNAV;VARCHAR(4000);
dbo;USER;username;VARCHAR(4000);;DirectMove;SRC_SCSFCTR;USER;USERNAME;VARCHAR(4000);
dbo;USER;usersSysIdOfHireDateChangeNav;VARCHAR(4000);;DirectMove;SRC_SCSFCTR;USER;USERSSYSIDOFHIREDATECHANGENAV;VARCHAR(4000);
dbo;USER;usersSysIdOfSecondaryAssignmentsItemNav;VARCHAR(4000);;DirectMove;SRC_SCSFCTR;USER;USERSSYSIDOFSECONDARYASSIGNMENTSITEMNAV;VARCHAR(4000);
dbo;USER;workOrderOwnerIdOfWorkOrderNav;VARCHAR(4000);;DirectMove;SRC_SCSFCTR;USER;WORKORDEROWNERIDOFWORKORDERNAV;VARCHAR(4000);
dbo;USER;workerOfPaymentInformationV3Nav;VARCHAR(4000);;DirectMove;SRC_SCSFCTR;USER;WORKEROFPAYMENTINFORMATIONV3NAV;VARCHAR(4000);
dbo;USER;zipCode;VARCHAR(4000);;DirectMove;SRC_SCSFCTR;USER;ZIPCODE;VARCHAR(4000);
