SourceSchema;SourceTableName;SourceColumnName;SourceDataType;SourceColumnPrimaryKey;TransformationLogic;DestinationSchema;DestinationTableName;DestinationColumnName;DestinationDataType;DestinationColumnPrimaryKey
dbo;F4101;IMPRP8;nchar(6);;DirectMove;SRC_JDEE1;ITEMMASTER;PURCHREPORTINGCODE8;VARCHAR(6);
dbo;F4101;IMPRP9;nchar(6);;DirectMove;SRC_JDEE1;ITEMMASTER;PURCHREPORTINGCODE9;VARCHAR(6);
dbo;F4101;IMPRP0;nchar(6);;DirectMove;SRC_JDEE1;ITEMMASTER;PURCHREPORTINGCODE10;VARCHAR(6);
dbo;F4101;IMCDCD;nchar(15);;DirectMove;SRC_JDEE1;ITEMMASTER;COMMODITYCODE;VARCHAR(15);
dbo;F4101;IMPDGR;nchar(3);;DirectMove;SRC_JDEE1;ITEMMASTER;PRODUCTGROUPFROM;VARCHAR(3);
dbo;F4101;IMDSGP;nchar(3);;DirectMove;SRC_JDEE1;ITEMMASTER;DISPATCHGRP;VARCHAR(3);
dbo;F4101;IMPRGR;nchar(8);;DirectMove;SRC_JDEE1;ITEMMASTER;PRICINGCATEGORY;VARCHAR(8);
dbo;F4101;IMRPRC;nchar(8);;DirectMove;SRC_JDEE1;ITEMMASTER;REPRICEBASKETPRICECAT;VARCHAR(8);
dbo;F4101;IMORPR;nchar(8);;DirectMove;SRC_JDEE1;ITEMMASTER;ORDERREPRICECATEGORY;VARCHAR(8);
dbo;F4101;IMBUYR;float;;DirectMove;SRC_JDEE1;ITEMMASTER;BUYER;NUMERIC(8,0);
dbo;F4101;IMDRAW;nchar(20);;DirectMove;SRC_JDEE1;ITEMMASTER;DRAWINGNUMBER;VARCHAR(20);
dbo;F4101;IMRVNO;nchar(2);;DirectMove;SRC_JDEE1;ITEMMASTER;REVISIONNUMBER;VARCHAR(2);
dbo;F4101;IMDSZE;nchar(1);;DirectMove;SRC_JDEE1;ITEMMASTER;DRAWINGSIZE;VARCHAR(1);
dbo;F4101;IMVCUD;float;;DirectMove;SRC_JDEE1;ITEMMASTER;VOLUMECUBICDIMENSIONS;NUMERIC(15,0);
